policy,budget,n,emitted,abstained,extra_generations,total_generations,expected_correct_answers,expected_accuracy,coverage,selective_accuracy,accuracy_per_extra_generation,correct_answers_per_generation,expected_accuracy_ci_low,expected_accuracy_ci_high,expected_accuracy_bootstrap_valid,coverage_ci_low,coverage_ci_high,coverage_bootstrap_valid,selective_accuracy_ci_low,selective_accuracy_ci_high,selective_accuracy_bootstrap_valid,accuracy_per_extra_generation_ci_low,accuracy_per_extra_generation_ci_high,accuracy_per_extra_generation_bootstrap_valid,correct_answers_per_generation_ci_low,correct_answers_per_generation_ci_high,correct_answers_per_generation_bootstrap_valid
never_resample,1,3920,3920,0,0,3920,1317.0,0.33596938775510204,1.0,0.33596938775510204,0.0,0.33596938775510204,0.3201466836734694,0.35025510204081634,1000,1.0,1.0,1000,0.3201466836734694,0.35025510204081634,1000,0.0,0.0,1000,0.3201466836734694,0.35025510204081634,1000
always_resample,1,3920,3920,0,3920,7840,979.0,0.24974489795918367,1.0,0.24974489795918367,-0.08622448979591837,0.12487244897959184,0.2372448979591837,0.26326530612244897,1000,1.0,1.0,1000,0.2372448979591837,0.26326530612244897,1000,-0.09771045918367348,-0.07474489795918367,1000,0.11862244897959184,0.13163265306122449,1000
correctness_trigger,1,3920,3920,0,2300,6220,1200.0,0.30612244897959184,1.0,0.30612244897959184,-0.050869565217391305,0.19292604501607716,0.29209183673469385,0.3201530612244898,1000,1.0,1.0,1000,0.29209183673469385,0.3201530612244898,1000,-0.06283387320955114,-0.038541422896018425,1000,0.1829069124258602,0.20321561390978365,1000
token_entropy_trigger,1,3920,3920,0,1917,5837,1227.0,0.31301020408163266,1.0,0.31301020408163266,-0.046948356807511735,0.2102107246873394,0.2982079081632653,0.327047193877551,1000,1.0,1.0,1000,0.2982079081632653,0.327047193877551,1000,-0.05976557187780345,-0.03493819740158377,1000,0.19905044483680895,0.22097772753914927,1000
joint_high_se_error,1,3920,3920,0,1839,5759,1238.0,0.31581632653061226,1.0,0.31581632653061226,-0.042958129418162044,0.2149678763674249,0.30025510204081635,0.3298469387755102,1000,1.0,1.0,1000,0.30025510204081635,0.3298469387755102,1000,-0.05534390690757449,-0.030724229590917283,1000,0.20334859938747843,0.22608470021658614,1000
joint_low_se_error_abstain,1,3920,3459,461,1839,5759,1126.0,0.2872448979591837,0.8823979591836735,0.3255276091355883,-0.042958129418162044,0.1955200555652023,0.27346301020408165,0.301281887755102,1000,0.872952806122449,0.8923469387755102,1000,0.3102248302628461,0.3400211562030895,1000,-0.05534390690757449,-0.030724229590917283,1000,0.18462297311477005,0.20629077262708712,1000
never_resample,2,3920,3920,0,0,3920,1317.0,0.33596938775510204,1.0,0.33596938775510204,0.0,0.33596938775510204,0.3201466836734694,0.35025510204081634,1000,1.0,1.0,1000,0.3201466836734694,0.35025510204081634,1000,0.0,0.0,1000,0.3201466836734694,0.35025510204081634,1000
always_resample,2,3920,3920,0,7840,11760,995.5,0.25395408163265304,1.0,0.25395408163265304,-0.04100765306122449,0.0846513605442177,0.24196428571428572,0.26684311224489793,1000,1.0,1.0,1000,0.24196428571428572,0.26684311224489793,1000,-0.04598214285714286,-0.036224489795918365,1000,0.08065476190476191,0.08894770408163265,1000
correctness_trigger,2,3920,3920,0,4600,8520,1207.0,0.3079081632653061,1.0,0.3079081632653061,-0.02391304347826087,0.14166666666666666,0.29375,0.32168367346938775,1000,1.0,1.0,1000,0.29375,0.32168367346938775,1000,-0.02937090200626437,-0.018719256093723897,1000,0.13382200597481317,0.14958513179394656,1000
token_entropy_trigger,2,3920,3920,0,3834,7754,1232.0,0.3142857142857143,1.0,0.3142857142857143,-0.022170057381324985,0.15888573639411915,0.2996141581632653,0.3280612244897959,1000,1.0,1.0,1000,0.2996141581632653,0.3280612244897959,1000,-0.027879115636143387,-0.016972565780622346,1000,0.14979816826413556,0.16770126968023713,1000
joint_high_se_error,2,3920,3920,0,3678,7598,1245.5,0.3177295918367347,1.0,0.3177295918367347,-0.019439912996193583,0.16392471703079758,0.3024170918367347,0.3312531887755102,1000,1.0,1.0,1000,0.3024170918367347,0.3312531887755102,1000,-0.02545572179372498,-0.014227025681729514,1000,0.15460460731364944,0.17271697857593454,1000
joint_low_se_error_abstain,2,3920,3459,461,3678,7598,1133.5,0.28915816326530613,0.8823979591836735,0.32769586585718413,-0.019439912996193583,0.14918399578836536,0.27512436224489795,0.30293367346938777,1000,0.872952806122449,0.8923469387755102,1000,0.3121305699013626,0.3419259015075139,1000,-0.02545572179372498,-0.014227025681729514,1000,0.1402223898149095,0.15762193544772024,1000
never_resample,5,3920,3920,0,0,3920,1317.0,0.33596938775510204,1.0,0.33596938775510204,0.0,0.33596938775510204,0.3201466836734694,0.35025510204081634,1000,1.0,1.0,1000,0.3201466836734694,0.35025510204081634,1000,0.0,0.0,1000,0.3201466836734694,0.35025510204081634,1000
always_resample,5,3920,3920,0,19600,23520,995.8000000000001,0.254030612244898,1.0,0.254030612244898,-0.016387755102040814,0.04233843537414966,0.24244897959183676,0.26561607142857147,1000,1.0,1.0,1000,0.24244897959183676,0.26561607142857147,1000,-0.01817423469387755,-0.01458112244897959,1000,0.04040816326530613,0.04426934523809524,1000
correctness_trigger,5,3920,3920,0,11500,15420,1204.6,0.30729591836734693,1.0,0.30729591836734693,-0.009773913043478268,0.07811932555123216,0.2932117346938776,0.3205701530612245,1000,1.0,1.0,1000,0.2932117346938776,0.3205701530612245,1000,-0.011835104601377664,-0.007627191536376931,1000,0.07342696302925661,0.08269179145683787,1000
token_entropy_trigger,5,3920,3920,0,9585,13505,1233.4,0.31464285714285717,1.0,0.31464285714285717,-0.008721961398017727,0.09132913735653463,0.29983801020408163,0.3284732142857143,1000,1.0,1.0,1000,0.29983801020408163,0.3284732142857143,1000,-0.010911160574069453,-0.0066632120650865845,1000,0.08578672380796831,0.09675663843265743,1000
joint_high_se_error,5,3920,3920,0,9195,13115,1245.4,0.31770408163265307,1.0,0.31770408163265307,-0.00778684067427949,0.09495996950057187,0.30289413265306114,0.3312295918367347,1000,1.0,1.0,1000,0.30289413265306114,0.3312295918367347,1000,-0.010042607431114433,-0.0057687490192118015,1000,0.08919052541483677,0.10057902830555049,1000
joint_low_se_error_abstain,5,3920,3459,461,9195,13115,1133.4,0.2891326530612245,0.8823979591836735,0.3276669557675629,-0.00778684067427949,0.08642012962256958,0.27478954081632656,0.3026556122448979,1000,0.872952806122449,0.8923469387755102,1000,0.3116098372523353,0.3418133626995579,1000,-0.010042607431114433,-0.0057687490192118015,1000,0.08070045934991212,0.09175614150421055,1000
never_resample,10,3920,3920,0,0,3920,1317.0,0.33596938775510204,1.0,0.33596938775510204,0.0,0.33596938775510204,0.3201466836734694,0.35025510204081634,1000,1.0,1.0,1000,0.3201466836734694,0.35025510204081634,1000,0.0,0.0,1000,0.3201466836734694,0.35025510204081634,1000
always_resample,10,3920,3920,0,39200,43120,996.5000000000001,0.2542091836734694,1.0,0.2542091836734694,-0.008176020408163263,0.02310992578849722,0.24305994897959185,0.26525829081632657,1000,1.0,1.0,1000,0.24305994897959185,0.26525829081632657,1000,-0.009023022959183676,-0.007321428571428572,1000,0.022096358998144713,0.024114390074211508,1000
