policy,budget,n,emitted,abstained,extra_generations,total_generations,expected_correct_answers,expected_accuracy,coverage,selective_accuracy,accuracy_per_extra_generation,correct_answers_per_generation,expected_accuracy_ci_low,expected_accuracy_ci_high,expected_accuracy_bootstrap_valid,coverage_ci_low,coverage_ci_high,coverage_bootstrap_valid,selective_accuracy_ci_low,selective_accuracy_ci_high,selective_accuracy_bootstrap_valid,accuracy_per_extra_generation_ci_low,accuracy_per_extra_generation_ci_high,accuracy_per_extra_generation_bootstrap_valid,correct_answers_per_generation_ci_low,correct_answers_per_generation_ci_high,correct_answers_per_generation_bootstrap_valid
never_resample,1,2221,2221,0,0,2221,1748.0,0.7870328680774425,1.0,0.7870328680774425,0.0,0.7870328680774425,0.769923457901846,0.8041422782530392,1000,1.0,1.0,1000,0.769923457901846,0.8041422782530392,1000,0.0,0.0,1000,0.769923457901846,0.8041422782530392,1000
always_resample,1,2221,2221,0,2221,4442,1530.0,0.6888788833858622,1.0,0.6888788833858622,-0.09815398469158038,0.3444394416929311,0.6695182350292661,0.7059995497523638,1000,1.0,1.0,1000,0.6695182350292661,0.7059995497523638,1000,-0.11392390814948222,-0.08329581269698334,1000,0.33475911751463305,0.3529997748761819,1000
correctness_trigger,1,2221,2221,0,820,3041,1636.0,0.7366051328230527,1.0,0.7366051328230527,-0.13658536585365855,0.5379809273265374,0.7190454750112562,0.7537257991895543,1000,1.0,1.0,1000,0.7190454750112562,0.7537257991895543,1000,-0.16806251146052995,-0.10625199259881471,1000,0.5206117352998779,0.5569968498652587,1000
token_entropy_trigger,1,2221,2221,0,1117,3338,1601.0,0.7208464655560558,1.0,0.7208464655560558,-0.13160250671441362,0.4796285200718993,0.7023863124718596,0.7384061233678523,1000,1.0,1.0,1000,0.7023863124718596,0.7384061233678523,1000,-0.15794513804985008,-0.10733291430093743,1000,0.4640662114014252,0.49593583142987,1000
joint_high_se_error,1,2221,2221,0,801,3022,1638.0,0.7375056280954525,1.0,0.7375056280954525,-0.1373283395755306,0.5420251489080079,0.7194957226474561,0.755076542098154,1000,1.0,1.0,1000,0.7194957226474561,0.755076542098154,1000,-0.1685052574329224,-0.10633068531750949,1000,0.5245326423320966,0.5606294418104748,1000
joint_low_se_error_abstain,1,2221,2202,19,801,3022,1621.0,0.7298514182800541,0.9914452949122017,0.7361489554950046,-0.1373283395755306,0.5363997352746526,0.7122917604682576,0.7478613237280505,1000,0.9878433138226025,0.995047276001801,1000,0.7181680159341146,0.753645449983272,1000,-0.1685052574329224,-0.10633068531750949,1000,0.5190161675652079,0.554701545855051,1000
never_resample,2,2221,2221,0,0,2221,1748.0,0.7870328680774425,1.0,0.7870328680774425,0.0,0.7870328680774425,0.769923457901846,0.8041422782530392,1000,1.0,1.0,1000,0.769923457901846,0.8041422782530392,1000,0.0,0.0,1000,0.769923457901846,0.8041422782530392,1000
always_resample,2,2221,2221,0,4442,6663,1522.0,0.6852769022962629,1.0,0.6852769022962629,-0.050877982890589826,0.22842563409875433,0.6692931112111662,0.7017221972084647,1000,1.0,1.0,1000,0.6692931112111662,0.7017221972084647,1000,-0.05718426384511482,-0.04490938766321477,1000,0.22309770373705537,0.23390739906948824,1000
correctness_trigger,2,2221,2221,0,1640,3861,1633.5,0.7354795137325529,1.0,0.7354795137325529,-0.06981707317073171,0.4230769230769231,0.7188147230977038,0.7528140477262495,1000,1.0,1.0,1000,0.7188147230977038,0.7528140477262495,1000,-0.08199388950860009,-0.05764323524100465,1000,0.40709256588435816,0.44114837831327847,1000
token_entropy_trigger,2,2221,2221,0,2234,4455,1600.0,0.720396217919856,1.0,0.720396217919856,-0.06624888093106536,0.35914702581369246,0.7048626744709591,0.7379615038271049,1000,1.0,1.0,1000,0.7048626744709591,0.7379615038271049,1000,-0.07662953431940774,-0.05623764581292074,1000,0.34646472564252007,0.37347630783151736,1000
joint_high_se_error,2,2221,2221,0,1602,3823,1638.0,0.7375056280954525,1.0,0.7375056280954525,-0.0686641697877653,0.4284593251373267,0.7210659612787034,0.7546262944619541,1000,1.0,1.0,1000,0.7210659612787034,0.7546262944619541,1000,-0.0807165699131568,-0.05634669935069194,1000,0.41212559022181233,0.44614918816496724,1000
joint_low_se_error_abstain,2,2221,2202,19,1602,3823,1621.0,0.7298514182800541,0.9914452949122017,0.7361489554950046,-0.0686641697877653,0.4240125555846194,0.7136256190904998,0.746966456551103,1000,0.9878433138226025,0.995047276001801,1000,0.7194364555428218,0.7537538852372432,1000,-0.0807165699131568,-0.05634669935069194,1000,0.40803241312888977,0.44218596604100396,1000
never_resample,5,2221,2221,0,0,2221,1748.0,0.7870328680774425,1.0,0.7870328680774425,0.0,0.7870328680774425,0.769923457901846,0.8041422782530392,1000,1.0,1.0,1000,0.769923457901846,0.8041422782530392,1000,0.0,0.0,1000,0.769923457901846,0.8041422782530392,1000
always_resample,5,2221,2221,0,11105,13326,1513.0,0.6812246735704638,1.0,0.6812246735704638,-0.021161638901395767,0.1135374455950773,0.6662764520486268,0.6975258892390815,1000,1.0,1.0,1000,0.6662764520486268,0.6975258892390815,1000,-0.023268797838811354,-0.019198559207564164,1000,0.1110460753414378,0.11625431487318026,1000
correctness_trigger,5,2221,2221,0,4100,6321,1632.6,0.7350742908599729,1.0,0.7350742908599729,-0.028146341463414656,0.25828191741813,0.7186852769022963,0.7523660513282305,1000,1.0,1.0,1000,0.7186852769022963,0.7523660513282305,1000,-0.032451042665814084,-0.023950569119102587,1000,0.2463311767901323,0.2724888165891337,1000
token_entropy_trigger,5,2221,2221,0,5585,7806,1596.8,0.7189554254840161,1.0,0.7189554254840161,-0.027072515666965093,0.2045605944145529,0.7037348041422783,0.7362471859522737,1000,1.0,1.0,1000,0.7037348041422783,0.7362471859522737,1000,-0.030439406587029816,-0.02373012490694021,1000,0.19581499865031593,0.21461774701844533,1000
joint_high_se_error,5,2221,2221,0,4005,6226,1635.8,0.7365150832958127,1.0,0.7365150832958127,-0.028014981273408252,0.26273690973337616,0.720211616389014,0.7540792435839713,1000,1.0,1.0,1000,0.720211616389014,0.7540792435839713,1000,-0.03246605486246305,-0.023882407766990316,1000,0.250310302665165,0.2770580248402917,1000
joint_low_se_error_abstain,5,2221,2202,19,4005,6226,1618.8000000000002,0.7288608734804143,0.9914452949122017,0.7351498637602181,-0.028014981273408193,0.26000642467073565,0.7121116614137776,0.7463304817649707,1000,0.9878433138226025,0.995047276001801,1000,0.7184025006869568,0.7528386363636362,1000,-0.03246605486246305,-0.023882407766990313,1000,0.24767970074518583,0.27409262773711796,1000
never_resample,10,2221,2221,0,0,2221,1748.0,0.7870328680774425,1.0,0.7870328680774425,0.0,0.7870328680774425,0.769923457901846,0.8041422782530392,1000,1.0,1.0,1000,0.769923457901846,0.8041422782530392,1000,0.0,0.0,1000,0.769923457901846,0.8041422782530392,1000
always_resample,10,2221,2221,0,22210,24431,1516.2,0.6826654660063035,1.0,0.6826654660063035,-0.010436740207113911,0.062060496909663955,0.6677600180099055,0.6978849617289509,1000,1.0,1.0,1000,0.6677600180099055,0.6978849617289509,1000,-0.011386875281404777,-0.009518009905448,1000,0.06070545618271867,0.06344408742990462,1000
correctness_trigger,10,2221,2221,0,8200,10421,1636.8999999999999,0.7370103556956326,1.0,0.7370103556956326,-0.013548780487804895,0.15707705594472698,0.7210243133723548,0.7540781179648807,1000,1.0,1.0,1000,0.7210243133723548,0.7540781179648807,1000,-0.015589747995418115,-0.011691212438853928,1000,0.14884046153871824,0.1668910862770219,1000
token_entropy_trigger,10,2221,2221,0,11170,13391,1600.4,0.7205763169743359,1.0,0.7205763169743359,-0.013213965980304379,0.11951310581734001,0.7056641152633949,0.7370193606483566,1000,1.0,1.0,1000,0.7056641152633949,0.7370193606483566,1000,-0.014880676849075458,-0.011642999289828778,1000,0.11378149645207505,0.12605497680010608,1000
joint_high_se_error,10,2221,2221,0,8010,10231,1639.3,0.7380909500225123,1.0,0.7380909500225123,-0.013570536828963801,0.16022871664548918,0.7225506528590725,0.7554288608734805,1000,1.0,1.0,1000,0.7225506528590725,0.7554288608734805,1000,-0.015625193858560794,-0.011680526686360633,1000,0.15159881812212742,0.1702900377671518,1000
joint_low_se_error_abstain,10,2221,2202,19,8010,10231,1622.3,0.7304367402071139,0.9914452949122017,0.7367393278837421,-0.013570536828963801,0.15856709999022578,0.7139531742458352,0.7472332282755515,1000,0.9878433138226025,0.995047276001801,1000,0.7206240633574478,0.754121682754492,1000,-0.015625193858560794,-0.011680526686360633,1000,0.15026286155926222,0.16840124385620797,1000
