run,policy,budget,n,emitted,abstained,extra_generations,total_generations,expected_correct_answers,expected_accuracy,coverage,selective_accuracy,accuracy_per_extra_generation,correct_answers_per_generation,expected_accuracy_ci_low,expected_accuracy_ci_high,expected_accuracy_bootstrap_valid,coverage_ci_low,coverage_ci_high,coverage_bootstrap_valid,selective_accuracy_ci_low,selective_accuracy_ci_high,selective_accuracy_bootstrap_valid,accuracy_per_extra_generation_ci_low,accuracy_per_extra_generation_ci_high,accuracy_per_extra_generation_bootstrap_valid,correct_answers_per_generation_ci_low,correct_answers_per_generation_ci_high,correct_answers_per_generation_bootstrap_valid
triviaqa_brief,never_resample,2,2221,2221,0,0,2221,1722.0,0.775326429536245,1.0,0.775326429536245,0.0,0.775326429536245,0.7582057631697433,0.7928860873480414,1000,1.0,1.0,1000,0.7582057631697433,0.7928860873480414,1000,0.0,0.0,1000,0.7582057631697433,0.7928860873480414,1000
triviaqa_brief,always_resample,2,2221,2221,0,4442,6663,1496.5,0.6737955875731653,1.0,0.6737955875731653,-0.0507654209815398,0.224598529191055,0.6562359297613688,0.6918167492120667,1000,1.0,1.0,1000,0.6562359297613688,0.6918167492120667,1000,-0.0577442593426384,-0.044687077892841,1000,0.2187453099204562,0.2306055830706889,1000
triviaqa_brief,correctness_trigger,2,2221,2221,0,1742,3963,1621.5,0.730076542098154,1.0,0.730076542098154,-0.0576923076923076,0.4091597274791824,0.712736380009005,0.7471972084646555,1000,1.0,1.0,1000,0.712736380009005,0.7471972084646555,1000,-0.0698426075065185,-0.0457487009678368,1000,0.3924080659751714,0.4269549432386109,1000
triviaqa_brief,joint_high_se_error,2,2221,2221,0,1628,3849,1623.0,0.7307519135524538,1.0,0.7307519135524538,-0.0608108108108108,0.421667965705378,0.7134173795587573,0.7478613237280505,1000,1.0,1.0,1000,0.7134173795587573,0.7478613237280505,1000,-0.0738425682773109,-0.0484673304805793,1000,0.4044786697105691,0.4401555521749109,1000
popqa_brief,never_resample,2,3920,3920,0,0,3920,1317.0,0.335969387755102,1.0,0.335969387755102,0.0,0.335969387755102,0.3201466836734694,0.3502551020408163,1000,1.0,1.0,1000,0.3201466836734694,0.3502551020408163,1000,0.0,0.0,1000,0.3201466836734694,0.3502551020408163,1000
popqa_brief,always_resample,2,3920,3920,0,7840,11760,995.5,0.253954081632653,1.0,0.253954081632653,-0.0410076530612244,0.0846513605442177,0.2419642857142857,0.2668431122448979,1000,1.0,1.0,1000,0.2419642857142857,0.2668431122448979,1000,-0.0459821428571428,-0.0362244897959183,1000,0.0806547619047619,0.0889477040816326,1000
popqa_brief,correctness_trigger,2,3920,3920,0,4600,8520,1207.0,0.3079081632653061,1.0,0.3079081632653061,-0.0239130434782608,0.1416666666666666,0.29375,0.3216836734693877,1000,1.0,1.0,1000,0.29375,0.3216836734693877,1000,-0.0293709020062643,-0.0187192560937238,1000,0.1338220059748131,0.1495851317939465,1000
popqa_brief,joint_high_se_error,2,3920,3920,0,3678,7598,1245.5,0.3177295918367347,1.0,0.3177295918367347,-0.0194399129961935,0.1639247170307975,0.3024170918367347,0.3312531887755102,1000,1.0,1.0,1000,0.3024170918367347,0.3312531887755102,1000,-0.0254557217937249,-0.0142270256817295,1000,0.1546046073136494,0.1727169785759345,1000
triviaqa_long,never_resample,2,2221,2221,0,0,2221,1748.0,0.7870328680774425,1.0,0.7870328680774425,0.0,0.7870328680774425,0.769923457901846,0.8041422782530392,1000,1.0,1.0,1000,0.769923457901846,0.8041422782530392,1000,0.0,0.0,1000,0.769923457901846,0.8041422782530392,1000
triviaqa_long,always_resample,2,2221,2221,0,4442,6663,1522.0,0.6852769022962629,1.0,0.6852769022962629,-0.0508779828905898,0.2284256340987543,0.6692931112111662,0.7017221972084647,1000,1.0,1.0,1000,0.6692931112111662,0.7017221972084647,1000,-0.0571842638451148,-0.0449093876632147,1000,0.2230977037370553,0.2339073990694882,1000
triviaqa_long,correctness_trigger,2,2221,2221,0,1640,3861,1633.5,0.7354795137325529,1.0,0.7354795137325529,-0.0698170731707317,0.4230769230769231,0.7188147230977038,0.7528140477262495,1000,1.0,1.0,1000,0.7188147230977038,0.7528140477262495,1000,-0.0819938895086,-0.0576432352410046,1000,0.4070925658843581,0.4411483783132784,1000
triviaqa_long,joint_high_se_error,2,2221,2221,0,1602,3823,1638.0,0.7375056280954525,1.0,0.7375056280954525,-0.0686641697877653,0.4284593251373267,0.7210659612787034,0.7546262944619541,1000,1.0,1.0,1000,0.7210659612787034,0.7546262944619541,1000,-0.0807165699131568,-0.0563466993506919,1000,0.4121255902218123,0.4461491881649672,1000
