quadrant,budget,n,greedy_accuracy,random_resample_accuracy,fix_at_k,zero_correct_at_k,greedy_accuracy_ci_low,greedy_accuracy_ci_high,greedy_accuracy_bootstrap_valid,random_resample_accuracy_ci_low,random_resample_accuracy_ci_high,random_resample_accuracy_bootstrap_valid,fix_at_k_ci_low,fix_at_k_ci_high,fix_at_k_bootstrap_valid
predicted_high_se_error,1,814,0.5417690417690417,0.4213759213759214,0.4213759213759214,0.5786240786240786,0.5070542095559872,0.5787636603441778,1000,0.38658986977823057,0.45728884518631574,1000,0.38658986977823057,0.45728884518631574,1000
predicted_low_se_error,1,57,0.8771929824561403,0.8421052631578947,0.8421052631578947,0.15789473684210525,0.7843137254901961,0.9574468085106383,1000,0.7413633461047254,0.9310540752351096,1000,0.7413633461047254,0.9310540752351096,1000
predicted_correct_high_se,1,309,0.8058252427184466,0.6472491909385113,0.6472491909385113,0.35275080906148865,0.7630476190476191,0.8497144543387317,1000,0.5944930713616281,0.6996746538925066,1000,0.5944930713616281,0.6996746538925066,1000
predicted_correct_low_se,1,1041,0.9433237271853987,0.8693563880883766,0.8693563880883766,0.13064361191162344,0.9297835120905018,0.9568627450980393,1000,0.8484251968503937,0.8884580829814503,1000,0.8484251968503937,0.8884580829814503,1000
predicted_high_se_error,2,814,0.5417690417690417,0.4201474201474201,0.5368550368550369,0.4631449631449631,0.5070542095559872,0.5787636603441778,1000,0.3891493988784624,0.4522334776109025,1000,0.5037044242966652,0.5753837152666406,1000
predicted_low_se_error,2,57,0.8771929824561403,0.8508771929824561,0.9122807017543859,0.08771929824561403,0.7843137254901961,0.9574468085106383,1000,0.7655881485849056,0.9259259259259259,1000,0.8333333333333334,0.9807692307692307,1000
predicted_correct_high_se,2,309,0.8058252427184466,0.63915857605178,0.7669902912621359,0.23300970873786409,0.7630476190476191,0.8497144543387317,1000,0.5946018018499706,0.6835543584098894,1000,0.7192305796529969,0.8117035472617997,1000
predicted_correct_low_se,2,1041,0.9433237271853987,0.872718539865514,0.9481268011527377,0.05187319884726225,0.9297835120905018,0.9568627450980393,1000,0.8561540587592447,0.88775681413505,1000,0.9345327609195765,0.9615781730419546,1000
predicted_high_se_error,5,814,0.5417690417690417,0.4135135135135135,0.6670761670761671,0.33292383292383293,0.5070542095559872,0.5787636603441778,1000,0.38652011822993404,0.44181262773310886,1000,0.6354749549961839,0.7012454698134889,1000
predicted_low_se_error,5,57,0.8771929824561403,0.8210526315789474,0.9298245614035088,0.07017543859649122,0.7843137254901961,0.9574468085106383,1000,0.7376936676309869,0.8949269882659713,1000,0.8571428571428571,0.9846212121212121,1000
predicted_correct_high_se,5,309,0.8058252427184466,0.6440129449838188,0.8737864077669902,0.1262135922330097,0.7630476190476191,0.8497144543387317,1000,0.6048190760389036,0.6824693362193361,1000,0.8348001220628624,0.9112660387955243,1000
predicted_correct_low_se,5,1041,0.9433237271853987,0.8699327569644573,0.9721421709894332,0.027857829010566763,0.9297835120905018,0.9568627450980393,1000,0.8548009184736294,0.8830220673029104,1000,0.9614271222912476,0.9820109577922078,1000
predicted_high_se_error,10,814,0.5417690417690417,0.4194103194103194,0.7518427518427518,0.24815724815724816,0.5070542095559872,0.5787636603441778,1000,0.39418547538729165,0.4456965966970211,1000,0.723811823994582,0.7819814984707312,1000
predicted_low_se_error,10,57,0.8771929824561403,0.8087719298245614,0.9298245614035088,0.07017543859649122,0.7843137254901961,0.9574468085106383,1000,0.728325,0.8804917387883556,1000,0.8571428571428571,0.9846212121212121,1000
predicted_correct_high_se,10,309,0.8058252427184466,0.6559870550161813,0.919093851132686,0.08090614886731391,0.7630476190476191,0.8497144543387317,1000,0.6206035761371127,0.6907668190062526,1000,0.8877825092539648,0.9482869142351901,1000
predicted_correct_low_se,10,1041,0.9433237271853987,0.8698366954851104,0.9884726224783862,0.011527377521613832,0.9297835120905018,0.9568627450980393,1000,0.8562548224022505,0.8822034765346636,1000,0.9821399006622517,0.9951269426809566,1000
