probe_dir,correctness_target,layer,position,representation,run_alias,seed,overlap_correctness_features,overlap_expected_overlap_null,overlap_fold_enrichment,overlap_hypergeom_p_greater,overlap_jaccard,overlap_overlap,overlap_overlap_coefficient,overlap_se_features,overlap_union,correctness_auroc,correctness_from_se_features_auroc,n_test,se_from_correctness_features_r2,se_r2,se_cross_minus_direct_r2,correctness_cross_minus_direct_auroc,se_cross_minus_direct_r2_ci_low,se_cross_minus_direct_r2_ci_high,correctness_cross_minus_direct_auroc_ci_low,correctness_cross_minus_direct_auroc_ci_high
results/paper/probes/popqa-brief-sae-l20-tbg-v1,f1_50,20,tbg,sae_code_l20_tbg_16k,popqa_brief,42,128,1.0,108.0,1.834535064318831e-235,0.7297297297297297,108,0.84375,128,148,0.8770407137841945,0.8761294353720125,3920,0.699604009297473,0.6970245202346348,0.002579489062838225,-0.0009112784121819706,-0.0010262989309004988,0.006224874717385712,-0.0031595065234486823,0.0013172273429061159
results/paper/probes/popqa-brief-sae-l20-tbg-seed43,f1_50,20,tbg,sae_code_l20_tbg_16k,popqa_brief,43,128,1.0,108.0,1.834535064318831e-235,0.7297297297297297,108,0.84375,128,148,0.8770407137841945,0.8761294353720125,3920,0.699604009297473,0.6970245202346348,0.002579489062838225,-0.0009112784121819706,-0.0010262989309004988,0.006224874717385712,-0.0031595065234486823,0.0013172273429061159
results/paper/probes/popqa-brief-sae-l20-tbg-seed44,f1_50,20,tbg,sae_code_l20_tbg_16k,popqa_brief,44,128,1.0,108.0,1.834535064318831e-235,0.7297297297297297,108,0.84375,128,148,0.8770407137841945,0.8761294353720125,3920,0.699604009297473,0.6970245202346348,0.002579489062838225,-0.0009112784121819706,-0.0010262989309004988,0.006224874717385712,-0.0031595065234486823,0.0013172273429061159
results/paper/probes/popqa-brief-sae-l20-tbg-seed45,f1_50,20,tbg,sae_code_l20_tbg_16k,popqa_brief,45,128,1.0,62.0,6.987374696761147e-102,0.31958762886597936,62,0.484375,128,194,0.8770407137841945,0.8784516784704057,3920,0.699604009297473,0.6955478871744256,0.004056122123047401,0.001410964686211269,-0.002685764303934101,0.01104530957186495,-0.0027122307854126003,0.005143970134075631
results/paper/probes/popqa-brief-sae-l20-tbg-seed46,f1_50,20,tbg,sae_code_l20_tbg_16k,popqa_brief,46,128,1.0,108.0,1.834535064318831e-235,0.7297297297297297,108,0.84375,128,148,0.8770407137841945,0.8761294353720125,3920,0.699604009297473,0.6970245202346348,0.002579489062838225,-0.0009112784121819706,-0.0010262989309004988,0.006224874717385712,-0.0031595065234486823,0.0013172273429061159
results/paper/probes/triviaqa-brief-sae-l20-tbg-v1,f1_50,20,tbg,sae_code_l20_tbg_16k,triviaqa_brief,42,32,0.25,116.0,1.2490549399271953e-59,0.22137404580152673,29,0.90625,128,131,0.8039726374933376,0.8101813382863288,2221,0.3875844210894157,0.45512907622555365,-0.06754465513613794,0.006208700792991184,-0.08611889758066879,-0.05078461993999761,-0.002410527177840674,0.015392302542143365
results/paper/probes/triviaqa-brief-sae-l20-tbg-seed43,f1_50,20,tbg,sae_code_l20_tbg_16k,triviaqa_brief,43,32,0.25,116.0,1.2490549399271953e-59,0.22137404580152673,29,0.90625,128,131,0.8039726374933376,0.8101813382863288,2221,0.3875844210894157,0.45512907622555365,-0.06754465513613794,0.006208700792991184,-0.08611889758066879,-0.05078461993999761,-0.002410527177840674,0.015392302542143365
results/paper/probes/triviaqa-brief-sae-l20-tbg-seed44,f1_50,20,tbg,sae_code_l20_tbg_16k,triviaqa_brief,44,32,0.25,116.0,1.2490549399271953e-59,0.22137404580152673,29,0.90625,128,131,0.8039726374933376,0.8101813382863288,2221,0.3875844210894157,0.45512907622555365,-0.06754465513613794,0.006208700792991184,-0.08611889758066879,-0.05078461993999761,-0.002410527177840674,0.015392302542143365
results/paper/probes/triviaqa-brief-sae-l20-tbg-seed45,f1_50,20,tbg,sae_code_l20_tbg_16k,triviaqa_brief,45,32,0.25,116.0,1.2490549399271953e-59,0.22137404580152673,29,0.90625,128,131,0.8039726374933376,0.8101813382863288,2221,0.3875844210894157,0.45512907622555365,-0.06754465513613794,0.006208700792991184,-0.08611889758066879,-0.05078461993999761,-0.002410527177840674,0.015392302542143365
results/paper/probes/triviaqa-brief-sae-l20-tbg-seed46,f1_50,20,tbg,sae_code_l20_tbg_16k,triviaqa_brief,46,32,0.25,116.0,1.2490549399271953e-59,0.22137404580152673,29,0.90625,128,131,0.8039726374933376,0.8101813382863288,2221,0.3875844210894157,0.45512907622555365,-0.06754465513613794,0.006208700792991184,-0.08611889758066879,-0.05078461993999761,-0.002410527177840674,0.015392302542143365
results/paper/probes/triviaqa-long-sae-l20-tbg-v1,f1_50,20,tbg,sae_code_l20_tbg_16k,triviaqa_long,42,64,0.5,104.0,4.882685919227355e-103,0.37142857142857144,52,0.8125,128,140,0.8039160429799566,0.8038930629266428,2221,0.43414911681794144,0.4369482151964176,-0.002799098378476139,-2.2980053313803595e-05,-0.015470930423009252,0.009670211105784008,-0.00774727937733716,0.007645559248290465
results/paper/probes/triviaqa-long-sae-l20-tbg-seed43,f1_50,20,tbg,sae_code_l20_tbg_16k,triviaqa_long,43,64,0.5,104.0,4.882685919227355e-103,0.37142857142857144,52,0.8125,128,140,0.8039160429799566,0.8038930629266428,2221,0.43414911681794144,0.4369482151964176,-0.002799098378476139,-2.2980053313803595e-05,-0.015470930423009252,0.009670211105784008,-0.00774727937733716,0.007645559248290465
results/paper/probes/triviaqa-long-sae-l20-tbg-seed44,f1_50,20,tbg,sae_code_l20_tbg_16k,triviaqa_long,44,64,0.5,104.0,4.882685919227355e-103,0.37142857142857144,52,0.8125,128,140,0.8039160429799566,0.8038930629266428,2221,0.43414911681794144,0.4369482151964176,-0.002799098378476139,-2.2980053313803595e-05,-0.015470930423009252,0.009670211105784008,-0.00774727937733716,0.007645559248290465
results/paper/probes/triviaqa-long-sae-l20-tbg-seed45,f1_50,20,tbg,sae_code_l20_tbg_16k,triviaqa_long,45,64,0.5,104.0,4.882685919227355e-103,0.37142857142857144,52,0.8125,128,140,0.8039160429799566,0.8038930629266428,2221,0.43414911681794144,0.4369482151964176,-0.002799098378476139,-2.2980053313803595e-05,-0.015470930423009252,0.009670211105784008,-0.00774727937733716,0.007645559248290465
results/paper/probes/triviaqa-long-sae-l20-tbg-seed46,f1_50,20,tbg,sae_code_l20_tbg_16k,triviaqa_long,46,64,0.5,104.0,4.882685919227355e-103,0.37142857142857144,52,0.8125,128,140,0.8039160429799566,0.8038930629266428,2221,0.43414911681794144,0.4369482151964176,-0.002799098378476139,-2.2980053313803595e-05,-0.015470930423009252,0.009670211105784008,-0.00774727937733716,0.007645559248290465
