quadrant,budget,n,greedy_accuracy,random_resample_accuracy,fix_at_k,zero_correct_at_k,greedy_accuracy_ci_low,greedy_accuracy_ci_high,greedy_accuracy_bootstrap_valid,random_resample_accuracy_ci_low,random_resample_accuracy_ci_high,random_resample_accuracy_bootstrap_valid,fix_at_k_ci_low,fix_at_k_ci_high,fix_at_k_bootstrap_valid
predicted_high_se_error,1,801,0.5705368289637952,0.4332084893882647,0.4332084893882647,0.5667915106117354,0.5365157392097171,0.6046173767071692,1000,0.3963403342366757,0.46849409948720455,1000,0.3963403342366757,0.46849409948720455,1000
predicted_low_se_error,1,19,0.8947368421052632,0.7894736842105263,0.7894736842105263,0.21052631578947367,0.7367543859649123,1.0,1000,0.6,0.9523809523809523,1000,0.6,0.9523809523809523,1000
predicted_correct_high_se,1,316,0.8259493670886076,0.7088607594936709,0.7088607594936709,0.2911392405063291,0.7830086136177195,0.8652154587563748,1000,0.6590098263365277,0.7593788947947214,1000,0.6590098263365277,0.7593788947947214,1000
predicted_correct_low_se,1,1085,0.9336405529953917,0.8700460829493087,0.8700460829493087,0.12995391705069123,0.9185886884341438,0.9469210341630783,1000,0.8492317087224043,0.8883934710751529,1000,0.8492317087224043,0.8883934710751529,1000
predicted_high_se_error,2,801,0.5705368289637952,0.4332084893882647,0.5468164794007491,0.45318352059925093,0.5365157392097171,0.6046173767071692,1000,0.4016543980588504,0.46262414947322217,1000,0.510123417721519,0.5824144183182429,1000
predicted_low_se_error,2,19,0.8947368421052632,0.6578947368421053,0.8421052631578947,0.15789473684210525,0.7367543859649123,1.0,1000,0.5,0.8182629870129869,1000,0.6666666666666666,1.0,1000
predicted_correct_high_se,2,316,0.8259493670886076,0.7056962025316456,0.819620253164557,0.18037974683544303,0.7830086136177195,0.8652154587563748,1000,0.6620670856160704,0.746969027809437,1000,0.7788031524926686,0.8580446728401343,1000
predicted_correct_low_se,2,1085,0.9336405529953917,0.8658986175115208,0.9391705069124424,0.060829493087557605,0.9185886884341438,0.9469210341630783,1000,0.8489934147000098,0.8810634161524863,1000,0.9248383839415424,0.9518966230770394,1000
predicted_high_se_error,5,801,0.5705368289637952,0.43046192259675403,0.6754057428214731,0.32459425717852686,0.5365157392097171,0.6046173767071692,1000,0.4004985391912376,0.4598546675489547,1000,0.6433893364211499,0.7091595167952378,1000
predicted_low_se_error,5,19,0.8947368421052632,0.7263157894736842,1.0,0.0,0.7367543859649123,1.0,1000,0.6124652777777778,0.85,1000,1.0,1.0,1000
predicted_correct_high_se,5,316,0.8259493670886076,0.7025316455696202,0.9050632911392406,0.0949367088607595,0.7830086136177195,0.8652154587563748,1000,0.6666616314199395,0.7395227311137401,1000,0.8709677419354839,0.9379127966976264,1000
predicted_correct_low_se,5,1085,0.9336405529953917,0.8593548387096774,0.9695852534562212,0.030414746543778803,0.9185886884341438,0.9469210341630783,1000,0.8440719426322875,0.8727124382767342,1000,0.958171914588219,0.9794215833617752,1000
predicted_high_se_error,10,801,0.5705368289637952,0.4348314606741573,0.7553058676654182,0.24469413233458176,0.5365157392097171,0.6046173767071692,1000,0.4072539936913762,0.4624696072319202,1000,0.7266889955919396,0.7841090112796302,1000
predicted_low_se_error,10,19,0.8947368421052632,0.7684210526315789,1.0,0.0,0.7367543859649123,1.0,1000,0.6799736842105264,0.8650416666666666,1000,1.0,1.0,1000
predicted_correct_high_se,10,316,0.8259493670886076,0.7028481012658228,0.939873417721519,0.060126582278481014,0.7830086136177195,0.8652154587563748,1000,0.6664224518367471,0.7366614248392283,1000,0.9134615384615384,0.963424663029525,1000
predicted_correct_low_se,10,1085,0.9336405529953917,0.8582488479262673,0.9806451612903225,0.01935483870967742,0.9185886884341438,0.9469210341630783,1000,0.844066786819947,0.8712651070882202,1000,0.9724726168390557,0.9887326586158602,1000
