quadrant,budget,n,greedy_accuracy,random_resample_accuracy,fix_at_k,zero_correct_at_k,greedy_accuracy_ci_low,greedy_accuracy_ci_high,greedy_accuracy_bootstrap_valid,random_resample_accuracy_ci_low,random_resample_accuracy_ci_high,random_resample_accuracy_bootstrap_valid,fix_at_k_ci_low,fix_at_k_ci_high,fix_at_k_bootstrap_valid
predicted_high_se_error,1,1839,0.0766721044045677,0.03371397498640565,0.03371397498640565,0.9662860250135944,0.06519163063711352,0.08950358173054627,1000,0.026286606344770033,0.04317381538780729,1000,0.026286606344770033,0.04317381538780729,1000
predicted_low_se_error,1,461,0.24295010845986983,0.16052060737527116,0.16052060737527116,0.8394793926247288,0.20473273493747632,0.28059349322673777,1000,0.12910608814175376,0.19526684940341824,1000,0.12910608814175376,0.19526684940341824,1000
predicted_correct_high_se,1,78,0.41025641025641024,0.2692307692307692,0.2692307692307692,0.7307692307692307,0.3037974683544304,0.5185302390998593,1000,0.1756587837837838,0.3728876802428535,1000,0.1756587837837838,0.3728876802428535,1000
predicted_correct_low_se,1,1542,0.669260700389105,0.5330739299610895,0.5330739299610895,0.4669260700389105,0.6459153602983033,0.6924543436585612,1000,0.5070783959180694,0.5569561510484681,1000,0.5070783959180694,0.5569561510484681,1000
predicted_high_se_error,2,1839,0.0766721044045677,0.03779227841218053,0.0636215334420881,0.9363784665579119,0.06519163063711352,0.08950358173054627,1000,0.030958612884674934,0.04523194135800046,1000,0.05310268480272035,0.07477903974500838,1000
predicted_low_se_error,2,461,0.24295010845986983,0.1594360086767896,0.2472885032537961,0.7527114967462039,0.20473273493747632,0.28059349322673777,1000,0.13469884513790772,0.1873672385620915,1000,0.21082979988624026,0.2869265875091537,1000
predicted_correct_high_se,2,78,0.41025641025641024,0.23717948717948717,0.32051282051282054,0.6794871794871795,0.3037974683544304,0.5185302390998593,1000,0.16434374004460017,0.32,1000,0.2234967320261438,0.4203089244851258,1000
predicted_correct_low_se,2,1542,0.669260700389105,0.5408560311284046,0.6446173800259404,0.3553826199740597,0.6459153602983033,0.6924543436585612,1000,0.5168358191645993,0.5624209689148177,1000,0.6188568898042222,0.6681481473072007,1000
predicted_high_se_error,5,1839,0.0766721044045677,0.0377379010331702,0.1120174007612833,0.8879825992387167,0.06519163063711352,0.08950358173054627,1000,0.032507219968268164,0.04345746048289039,1000,0.09829763866007687,0.12683784264194872,1000
predicted_low_se_error,5,461,0.24295010845986983,0.1544468546637744,0.3557483731019523,0.6442516268980477,0.20473273493747632,0.28059349322673777,1000,0.13276828947496613,0.17952383018103996,1000,0.3159028931728054,0.40046467535270686,1000
predicted_correct_high_se,5,78,0.41025641025641024,0.2564102564102564,0.48717948717948717,0.5128205128205128,0.3037974683544304,0.5185302390998593,1000,0.18547995482778093,0.32750398936170216,1000,0.3749533582089552,0.5970201077943614,1000
predicted_correct_low_se,5,1542,0.669260700389105,0.5416342412451361,0.7431906614785992,0.25680933852140075,0.6459153602983033,0.6924543436585612,1000,0.5206489508083936,0.5612053343749662,1000,0.7221087332948541,0.7649710971875671,1000
predicted_high_se_error,10,1839,0.0766721044045677,0.03828167482327352,0.16367591082109842,0.8363240891789016,0.06519163063711352,0.08950358173054627,1000,0.03354794437306851,0.043619435590715336,1000,0.14842658488207372,0.18211071940551768,1000
predicted_low_se_error,10,461,0.24295010845986983,0.15488069414316702,0.4511930585683297,0.5488069414316703,0.20473273493747632,0.28059349322673777,1000,0.1348167235447725,0.1771458646616541,1000,0.4094894249834765,0.4966047261009667,1000
predicted_correct_high_se,10,78,0.41025641025641024,0.24743589743589745,0.5641025641025641,0.4358974358974359,0.3037974683544304,0.5185302390998593,1000,0.18260044028618602,0.309226164797239,1000,0.4486764705882353,0.6717182161481747,1000
predicted_correct_low_se,10,1542,0.669260700389105,0.5417639429312581,0.7872892347600519,0.2127107652399481,0.6459153602983033,0.6924543436585612,1000,0.5222432663169715,0.5605767972185933,1000,0.7659946128163359,0.8073701816927963,1000
